Variable,Definition
"Hg Electrical Output Based Rate (lb/GWh)","Electrical output based emissions rate of Mercury in pounds per gigawatt-hour."
"Hg Heat Input Based Rate (lb/TBtu)","Heat input based rate of Mercury in pounds per TBtu."
"Hour","Hour in which activity occurred, recorded using local, standard time."
"In Compliance?","A facility is in compliance if, at the end of the compliance period, the facility owns enough allowances to cover the amount of pollutant emitted (or for ARP NOx, the actual emissions rate of the pollutant was below the emissions limit)."
"Max Hourly HI Rate (MMBtu/hr)","The design heat input capacity (in MMBtu/hr) for the unit or the highest hourly heat input rate observed in the past five years, whichever is greater."
"Monitoring Location","A unit, stack, or pipe where emissions are measured."
"Month","Month in which activity occurred."
"NERC Region","The North American Electric Reliability Corporation region in which the facility is located."
"NOx (pounds)","Nitrogen oxide emissions in pounds."
"NOx (tons)","Nitrogen oxide emissions in short tons."
"NOx Control(s)","Method or equipment used by the combustion unit to minimize production or emission of nitrogen oxides (NOx)."
"NOx Phase","Group 1 boilers are divided into two mutually exclusive groups: Phase I and Phase II. The Phase a Group 1 boiler is associated with determines (in part) the Acid Rain NOx limit a boiler is subject to. There is no Phase I-Phase II bifurcation of Group 2 boilers."
"Operating Status","An indication of the present condition of a unit (planned, operating, shutdown, etc.)."
"Operating Time","Any part of an hour in which a unit combusts any fuel."
"Operator","The name of any company that operates an affected unit."
"Opt-In Allowance Allocation","Number of opt-in allowances a state has allocated."
"Opt-In Authority","Number of opt-in allowances a state may allocate."
"Other Deductions","The sum of other deductions that may have occurred for the account, including Underutilization, Phase I Extension, Projected Emissions Deduction (for Phase I reports), State Cap Deductions, Deduction of Loaned Allowances, July Confirmation Deduction, and Substitution Control by Contract Deduction."
"Owner","The name of any company that owns an allowance account or an affected unit."
"Owner (Transferee)","The owner of the account receiving allowances in an allowance transaction."
"Owner (Transferor)","The owner of the account transferring allowances in an allowance transaction."
"Ozone Season","The period of time beginning May 1st of a year and ending on September 30th of the same year, inclusive."
"PM Control(s)","Method or equipment used by the combustion unit to minimize production or emission of particulate matter (PM)."
"Primary Reserve Allowance Allocation","Number of primary allowances a state has allocated."
"Primary Reserve Authority","Number of primary allowances a state may allocate."
"Program","Statutory or regulatory based options for tracking and reducing air pollution emissions."
"Program(s)","Statutory or regulatory based options for tracking and reducing air pollution emissions."
"Quarter","Calendar quarter in which activity occurred."
"Representative (Primary)","Primary person assigned to act on behalf of the owners and/or operators of a facility."
"Representative (Secondary)","Secondary person assigned to act on behalf of the owners and/or operators of a facility."
"Representative (Transferee)","The representative of the account receiving allowances in an allowance transaction."
"Representative (Transferor)","The representative of the account transferring allowances in an allowance transaction."
"SO2 (pounds)","Sulfur dioxide emissions in pounds."
"SO2 (tons)","Sulfur dioxide emissions in short tons."
"SO2 Control(s)","Method or equipment used by the combustion unit to minimize production or emission of sulfur dioxide (SO2)."
"SO2 Phase","Title IV of the Clean Air Act SO2 Phase. Phase I started in 1995; Phase II started in 2000."
"Serial Number End","The ending serial number of an allowance block."
"Serial Number Start","The starting serial number of an allowance block."
"Source Category","Description of a unit that classifies it in terms of the primary function of the unit."
"Source Category (Transferee)","For unit accounts, the source category of the account receiving allowances in an allowance transaction."
"Source Category (Transferor)","For unit accounts, the source category of the account transferring allowances in an allowance transaction."
"Stack/Unit/Pipe ID","The ID of the stack, unit, or pipe at which emissions were measured."
"State","State in which the facility is located."
"State (Transferee)","For facility and unit accounts, the state of the account receiving allowances in an allowance transaction."
"State (Transferor)","For facility and unit accounts, the state of the account transferring allowances in an allowance transaction."
"Steam Load (1000lb)","Total steam pressure produced by a unit or source in any calendar year (or other specified time period) produced by combusting a given heat input of fuel."
"Steam Load (1000lb/hr)","Rate of steam pressure generated by a unit or source produced by combusting a given heat input of fuel."
"Total Allowance","Total Allowances held in an account by vintage year."
"Total Allowance Allocation","Total number of allowances a state has allocated."
"Total Allowances Deducted","Sum of allowances deducted."
"Total Allowances Held in Account at Trading Deadline","Amount of allowances held in the account for compliance."
"Total Authority","Total number of allowances a state may allocate."
"Transaction Date","The date the allowance transaction was confirmed."
"Transaction ID","The number used to identify a specific allowance transaction."
"Transaction Total","The total number of allowances involved in a transaction."
"Transaction Type","The type of allowance transaction (e.g. initial allocation, private transaction, etc.)."
"Unit","A fossil fuel-fired combustion device."
"Unit ID","Unique identifier for each unit at a facility."
"Unit Type","The type of boiler or turbine (or internal combustion engine) used by the unit."
"Year","The calendar year during which activity occurred."
