OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.99000624,Not determined,Water,Groundwater,1990-01-09,13:00:00,EST,,,,,,,,,,,,,USGS-405531078225003,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,4,ug/l,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.99000101,Sample-Routine,Water,Surface Water,1990-01-09,15:20:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-321317106471510,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Dissolved,10,ug/l,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,,,,,NWIS
USGS-NV,USGS Nevada Water Science Center,nwisnv.01.99000231,Sample-Routine,Water,Groundwater,1990-01-03,13:30:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-385623120030201,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000710,Sample-Routine,Water,Surface Water,1990-01-08,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03341540,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000710,Sample-Routine,Water,Surface Water,1990-01-08,11:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03341540,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000769,Sample-Routine,Water,Surface Water,1990-01-10,13:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03382325,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000769,Sample-Routine,Water,Surface Water,1990-01-10,13:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03382325,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.99000294,Sample-Routine,Water,Groundwater,1990-01-09,14:30:00,EST,,,,,,Below land-surface datum,,,300,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-390936076581702,,Loch Raven Schist,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.99000126,Sample-Routine,Water,Surface Water,1990-01-10,10:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-384158090432801,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001268,Sample-Routine,Water,Surface Water,1990-01-10,14:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05592800,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001268,Sample-Routine,Water,Surface Water,1990-01-10,14:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05592800,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001078,Sample-Routine,Water,Surface Water,1990-01-09,11:45:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05586040,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001078,Sample-Routine,Water,Surface Water,1990-01-09,11:45:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05586040,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001134,Sample-Routine,Water,Surface Water,1990-01-09,09:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05593520,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001134,Sample-Routine,Water,Surface Water,1990-01-09,09:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05593520,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001177,Sample-Routine,Water,Surface Water,1990-01-03,08:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05597040,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001177,Sample-Routine,Water,Surface Water,1990-01-03,08:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05597040,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-ND,USGS North Dakota Water Science Center,nwisnd.01.99000311,Sample-Routine,Water,Surface Water,1990-01-09,15:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-06470830,,,"Stable, low stage",Under ice cover,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,GF089,USGS,"Lead, wf, GF-AAS","USGS OF 93-125, p 87",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000756,Sample-Routine,Water,Surface Water,1990-01-02,08:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03382055,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000756,Sample-Routine,Water,Surface Water,1990-01-02,08:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03382055,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.99000237,Sample-Routine,Water,Surface Water,1990-01-10,14:50:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01103500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99000232,Sample-Routine,Water,Surface Water,1990-01-10,11:31:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12479500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Accepted,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000704,Sample-Routine,Water,Surface Water,1990-01-09,09:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03339147,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000704,Sample-Routine,Water,Surface Water,1990-01-09,09:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03339147,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-TN,USGS Tennessee Water Science Center,nwistn.01.99000183,Sample-Routine,Water,Surface Water,1990-01-10,09:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03600085,HG RR W/ 10X DLTN. ORIG. VALUE BAD.,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Recoverable,1.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.99000819,Sample-Routine,Water,Surface Water,1990-01-10,09:30:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12340500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-MT,USGS Montana Water Science Center,nwismt.01.99000819,Sample-Routine,Water,Surface Water,1990-01-10,09:30:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-12340500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Recoverable,2.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.99001823,Not determined,Water,Groundwater,1990-01-09,00:05:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-405531078225001,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.99000099,Sample-Routine,Water,Surface Water,1990-01-09,10:40:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-322841106551010,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000717,Sample-Routine,Water,Surface Water,1990-01-10,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03343395,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000717,Sample-Routine,Water,Surface Water,1990-01-10,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03343395,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.99000620,Not determined,Water,Groundwater,1990-01-09,11:45:00,EST,,,,,,,,,,,,,USGS-405533078222601,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,4,ug/l,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.99000124,Sample-Routine,Water,Groundwater,1990-01-09,15:15:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-384101090432201,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-KY,USGS Kentucky Water Science Center,nwisky.01.99000097,Sample-Routine,Water,Surface Water,1990-01-05,13:30:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03284000,,,Falling stage,Storm,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,GF078,USGS,"Lead, LIS, GFAAS","USGS TWRI 5-A1/1989, p 249",,,,Historical Lower Reporting Limit,0.5,ug/l,,NWIS
USGS-KY,USGS Kentucky Water Science Center,nwisky.01.99000097,Sample-Routine,Water,Surface Water,1990-01-05,13:30:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03284000,,,Falling stage,Storm,USGS,USGS,USGS,Unknown,,Lead,Recoverable,7.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-KY,USGS Kentucky Water Science Center,nwisky.01.99000097,Sample-Routine,Water,Surface Water,1990-01-05,13:30:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03284000,,,Falling stage,Storm,USGS,USGS,USGS,Unknown,,Lead,Suspended,50,mg/kg,,Historical,,Actual,Dry,,,,,,29836,,,,,,,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.99000121,Sample-Routine,Water,Groundwater,1990-01-09,12:30:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-384110090425401,,Ordovician System,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-CT,USGS Connecticut Water Science Center,nwisma.01.99000274,Sample-Routine,Water,Surface Water,1990-01-10,10:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01205500,,,"Stable, high stage",Regulated flow,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.99000133,Sample-Routine,Water,Surface Water,1990-01-04,14:15:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07380120,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001160,Sample-Routine,Water,Surface Water,1990-01-04,08:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05595540,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001160,Sample-Routine,Water,Surface Water,1990-01-04,08:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05595540,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.99000131,Sample-Routine,Water,Surface Water,1990-01-03,15:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07375500,,,Falling stage,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000870,Sample-Routine,Water,Surface Water,1990-01-10,15:30:00,CST,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),USGS - Illinois Water Science Center,USGS-05536995,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
